ID,front/title,front/icon,front/description,,back/title,back/icon,back/description,,,
chinese-essencial-in-communication-3-thai-cloudy-day,阴天,,yīntiān,cloudy day,วันฟ้าครึ้ม,☁️,今天是**阴天**。 (Jīntiān shì **yīn tiān**.) วันนี้เป็น**วันที่มีเมฆมาก**,今天是**阴天**。,Jīntiān shì **yīn tiān**.,วันนี้เป็น**วันที่มีเมฆมาก**
chinese-essencial-in-communication-3-thai-weather,天气,,tiānqì,weather,สภาพอากาศ,☀️,今天**天气**很好。 (Jīntiān **tiānqì** hěn hǎo.) วันนี้**อากาศ**ดีมาก,今天**天气**很好。,Jīntiān **tiānqì** hěn hǎo.,วันนี้**อากาศ**ดีมาก
chinese-essencial-in-communication-3-thai-weather-forecast,天气预报,,tiānqì yùbào,weather forecast,พยากรณ์อากาศ,📺,今天的**天气预报**说会下雨。 (Jīntiān de **tiānqì yùbào** shuō huì xià yǔ.) พยากรณ์**อากาศ**วันนี้บอกว่าฝนจะตก,今天的**天气预报**说会下雨。,Jīntiān de **tiānqì yùbào** shuō huì xià yǔ.,พยากรณ์**อากาศ**วันนี้บอกว่าฝนจะตก
chinese-essencial-in-communication-3-thai-to-forecast,预报,,yùbào,to forecast,พยากรณ์,🔮,明天有**预报**。 (míngtiān yǒu **yùbào**.) พรุ่งนี้มี**พยากรณ์**อากาศ,明天有**预报**。,míngtiān yǒu **yùbào**.,พรุ่งนี้มี**พยากรณ์**อากาศ
chinese-essencial-in-communication-3-thai-be-likely-to,会,,huì,be likely to,จะ,🤔,我**会**说汉语。 (Wǒ **huì** shuō Hànyǔ.) ฉัน**พูด**ภาษาจีนได้,我**会**说汉语。,Wǒ **huì** shuō Hànyǔ.,ฉัน**พูด**ภาษาจีนได้
chinese-essencial-in-communication-3-thai-to-rain,下雨,,xià yǔ,to rain,ฝนตก,🌧️,今天**下雨**。 (Jīntiān **xiàyǔ**.) วันนี้**ฝน**ตก,今天**下雨**。,Jīntiān **xiàyǔ**.,วันนี้**ฝน**ตก
chinese-essencial-in-communication-3-thai-heavy-rain,大雨,,dà yǔ,heavy rain,ฝนตกหนัก,⛈️,外面下着**大雨**。 (wàimian xiàzhe **dàyǔ**.) ข้างนอกฝนตก**หนัก**,外面下着**大雨**。,wàimian xiàzhe **dàyǔ**.,ข้างนอกฝนตก**หนัก**
chinese-essencial-in-communication-3-thai-light-rain-drizzle,小雨,,xiǎo yǔ,"light rain, drizzle",ฝนปรอย,☔,今天有**小雨**。 (Jīntiān yǒu **xiǎoyǔ**.) วันนี้มี**ฝนปรอยๆ**,今天有**小雨**。,Jīntiān yǒu **xiǎoyǔ**.,วันนี้มี**ฝนปรอยๆ**
chinese-essencial-in-communication-3-thai-why,为什么,,wèishénme,why,ทำไม,❓,你**为什么**喜欢学中文？ (Nǐ **wèishénme** xǐhuān xué Zhōngwén?) คุณชอบเรียนภาษาจีน**ทำไม**?,你**为什么**喜欢学中文？,Nǐ **wèishénme** xǐhuān xué Zhōngwén?,คุณชอบเรียนภาษาจีน**ทำไม**?
chinese-essencial-in-communication-3-thai-measure-word,把,,bǎ,(measure word),จับ,🔑,我**把**书放在桌子上了。 (Wǒ **bǎ** shū fàng zài zhuōzi le.) ฉัน**วาง**หนังสือไว้บนโต๊ะแล้ว,我**把**书放在桌子上了。,Wǒ **bǎ** shū fàng zài zhuōzi le.,ฉัน**วาง**หนังสือไว้บนโต๊ะแล้ว
chinese-essencial-in-communication-3-thai-umbrella,伞,,sǎn,umbrella,ร่ม,☂️,这把**伞**是我的。 (zhè bǎ **sǎn** shì wǒ de.) ร่มคันนี้เป็นของฉัน,这把**伞**是我的。,zhè bǎ **sǎn** shì wǒ de.,ร่มคันนี้เป็นของฉัน
chinese-essencial-in-communication-3-thai-here,这里,,zhèlǐ,here,ที่นี่,📍,我**这里**有本书。 (wǒ **zhèlǐ** yǒu běn shū.) ฉันมีหนังสืออยู่ที่**นี่**,我**这里**有本书。,wǒ **zhèlǐ** yǒu běn shū.,ฉันมีหนังสืออยู่ที่**นี่**
chinese-essencial-in-communication-3-thai-scenery,风景,,fēngjǐng,scenery,ทิวทัศน์,🏞️,这里的**风景**很美。 (Zhèlǐ de **fēngjǐng** hěn měi.) ทิวทัศน์ที่นี่สวยงามมาก,这里的**风景**很美。,Zhèlǐ de **fēngjǐng** hěn měi.,ทิวทัศน์ที่นี่สวยงามมาก
chinese-essencial-in-communication-3-thai-beautiful,美,,měi,beautiful,สวย,💖,这朵花很**美**。 (Zhè duǒ huā hěn **měi**.) ดอกไม้นี้สวยมาก**สวย**,这朵花很**美**。,Zhè duǒ huā hěn **měi**.,ดอกไม้นี้สวยมาก**สวย**
chinese-essencial-in-communication-3-thai-air,空气,,kōngqì,air,อากาศ,💨,这里的**空气**很新鲜。 (Zhèlǐ de **kōngqì** hěn xīnxiān.) **อากาศ**ที่นี่สดชื่นมาก,这里的**空气**很新鲜。,Zhèlǐ de **kōngqì** hěn xīnxiān.,**อากาศ**ที่นี่สดชื่นมาก
chinese-essencial-in-communication-3-thai-fresh,新鲜,,xīnxian,fresh,สด,🌱,这个水果很**新鲜**。 (Zhège shuǐguǒ hěn **xīnxiān**.) ผลไม้นี้สดมาก**สด**,这个水果很**新鲜**。,Zhège shuǐguǒ hěn **xīnxiān**.,ผลไม้นี้สดมาก**สด**
chinese-essencial-in-communication-3-thai-regrettable,可惜,,kěxī,regrettable,น่าเสียดาย,😔,"这件衣服很漂亮，**可惜**太贵了。 (Zhè jiàn yīfu hěn piàoliang, **kěxī** tài guì le.) เสื้อผ้าตัวนี้สวยมาก **น่าเสียดาย**ที่แพงเกินไป",这件衣服很漂亮，**可惜**太贵了。,"Zhè jiàn yīfu hěn piàoliang, **kěxī** tài guì le.",เสื้อผ้าตัวนี้สวยมาก **น่าเสียดาย**ที่แพงเกินไป
chinese-essencial-in-communication-3-thai-to-climb-a-mountain,爬山,,pá shān,to climb a mountain,ปีนเขา,⛰️,我喜欢**爬山**。 (Wǒ xǐhuān **páshān**.) ฉันชอบ**ปีนเขา**,我喜欢**爬山**。,Wǒ xǐhuān **páshān**.,ฉันชอบ**ปีนเขา**
chinese-essencial-in-communication-3-thai-auxiliary-word,了,,le,(auxiliary word),แล้ว,✅,我吃**了**饭。 (wǒ chī **le** fàn.) ฉันกินข้าว**แล้ว**,我吃**了**饭。,wǒ chī **le** fàn.,ฉันกินข้าว**แล้ว**
chinese-essencial-in-communication-3-thai-to-stop,停,,tíng,to stop,หยุด,🛑,请**停**一下。 (qǐng **tíng** yī xià.) กรุณา**หยุด**สักครู่,请**停**一下。,qǐng **tíng** yī xià.,กรุณา**หยุด**สักครู่
chinese-essencial-in-communication-3-thai-to-picnic,野餐,,yěcān,to picnic,ปิกนิก,🧺,我们明天去**野餐**吧。 (Wǒmen míngtiān qù **yěcān** ba.) พรุ่งนี้เราไป**ปิกนิก**กันนะ,我们明天去**野餐**吧。,Wǒmen míngtiān qù **yěcān** ba.,พรุ่งนี้เราไป**ปิกนิก**กันนะ
chinese-essencial-in-communication-3-thai-wind,风,,fēng,wind,ลม,🌬️,今天的**风**很大。 (Jīntiān de **fēng** hěn dà.) วันนี้ลม**แรง**มาก,今天的**风**很大。,Jīntiān de **fēng** hěn dà.,วันนี้ลม**แรง**มาก
chinese-essencial-in-communication-3-thai-to-go-down-a-mountain,下山,,xià shān,to go down a mountain,ลงจากเขา,🔽,我们明天**下山**。 (wǒmen míngtiān **xiàshān**.) พรุ่งนี้เราจะ**ลงจากเขา**,我们明天**下山**。,wǒmen míngtiān **xiàshān**.,พรุ่งนี้เราจะ**ลงจากเขา**
chinese-essencial-in-communication-3-thai-rainbow,彩虹,,cǎihóng,rainbow,รุ้ง,🌈,天上有一道美丽的**彩虹**。 (tiān shàng yǒu yī dào měi lì de **cǎi hóng**.) บนท้องฟ้ามี**รุ้ง**กินน้ำที่สวยงาม,天上有一道美丽的**彩虹**。,tiān shàng yǒu yī dào měi lì de **cǎi hóng**.,บนท้องฟ้ามี**รุ้ง**กินน้ำที่สวยงาม
chinese-essencial-in-communication-3-thai-botanical-garden,植物园,,zhíwùyuán,botanical garden,สวนพฤกษศาสตร์,🌳,我喜欢去**植物园**。 (wǒ xǐhuān qù **zhíwùyuán**.) ฉันชอบไป**สวนพฤกษศาสตร์**,我喜欢去**植物园**。,wǒ xǐhuān qù **zhíwùyuán**.,ฉันชอบไป**สวนพฤกษศาสตร์**
chinese-essencial-in-communication-3-thai-the-wind-blows,刮风,,guā fēng,the wind blows,ลมพัด,💨,今天**刮风**了。 (Jīntiān **guāfēng** le.) วันนี้ลม**พัด**แล้ว,今天**刮风**了。,Jīntiān **guāfēng** le.,วันนี้ลม**พัด**แล้ว
chinese-essencial-in-communication-3-thai-clear-day,晴天,,qíngtiān,clear day,ท้องฟ้าแจ่มใส,☀️,今天是**晴天**。 (Jīntiān shì **qíngtiān**.) วันนี้เป็น**วันฟ้าใส**,今天是**晴天**。,Jīntiān shì **qíngtiān**.,วันนี้เป็น**วันฟ้าใส**
chinese-essencial-in-communication-3-thai-daytime,白天,,báitiān,daytime,กลางวัน,🌞,**白天**我很忙。 (**bái tiān** wǒ hěn máng.) ฉันยุ่งมากใน**ตอนกลางวัน**,**白天**我很忙。,**bái tiān** wǒ hěn máng.,ฉันยุ่งมากใน**ตอนกลางวัน**
chinese-essencial-in-communication-3-thai-sunny,晴,,qíng,sunny,แดดออก,😎,今天天气很**晴**。 (Jīntiān tiānqì hěn **qíng**.) วันนี้อากาศแจ่ม**ใส**,今天天气很**晴**。,Jīntiān tiānqì hěn **qíng**.,วันนี้อากาศแจ่ม**ใส**
chinese-essencial-in-communication-3-thai-to-change,转,,zhuǎn,to change,เปลี่ยน,🔄,"他**转**过身，看到了她。 (Tā **zhuǎn** guò shēn, kàn dào le tā.) เขา**หัน**หลังกลับและเห็นเธอ",他**转**过身，看到了她。,"Tā **zhuǎn** guò shēn, kàn dào le tā.",เขา**หัน**หลังกลับและเห็นเธอ
chinese-essencial-in-communication-3-thai-cloudy,阴,,yīn,cloudy,หยิน,🌥️,今天天气很**阴**。 (Jīntiān tiānqì hěn **yīn**.) วันนี้อากาศ**มืดครึ้ม**,今天天气很**阴**。,Jīntiān tiānqì hěn **yīn**.,วันนี้อากาศ**มืดครึ้ม**
chinese-essencial-in-communication-3-thai-noon,中午,,zhōngwǔ,noon,เที่ยง,🕛,我们**中午**吃午饭。 (wǒ men **zhōng wǔ** chī wǔ fàn.) เรากินข้าวกลางวันตอน**เที่ยง**,我们**中午**吃午饭。,wǒ men **zhōng wǔ** chī wǔ fàn.,เรากินข้าวกลางวันตอน**เที่ยง**
chinese-essencial-in-communication-3-thai-shower,阵雨,,zhènyǔ,shower,ฝนปรอย,🌦️,今天有**阵雨**。 (Jīntiān yǒu **zhènyǔ**.) วันนี้มี**ฝนตกปรอยๆ**,今天有**阵雨**。,Jīntiān yǒu **zhènyǔ**.,วันนี้มี**ฝนตกปรอยๆ**
chinese-essencial-in-communication-3-thai-north-wind,北风,,běifēng,north wind,ลมเหนือ,⬆️,"**北风**吹过，天气很冷。 (**Běifēng** chuīguò, tiānqì hěn lěng.) **ลมเหนือ**พัดผ่าน อากาศหนาวมาก",**北风**吹过，天气很冷。,"**Běifēng** chuīguò, tiānqì hěn lěng.",**ลมเหนือ**พัดผ่าน อากาศหนาวมาก
chinese-essencial-in-communication-3-thai-force,级,,jí,force,ระดับ,💪,这是我的第一个**级**别。 (zhè shì wǒ de dì yī gè **jíbié**.) นี่คือระดับแรกของฉัน,这是我的第一个**级**别。,zhè shì wǒ de dì yī gè **jíbié**.,นี่คือระดับแรกของฉัน
chinese-essencial-in-communication-3-thai-most,最,,zuì,most,ที่สุด,⭐,这是**最**好的。 (Zhè shì **zuì** hǎo de.) นี่คือสิ่งที่ดีที่สุด,这是**最**好的。,Zhè shì **zuì** hǎo de.,นี่คือสิ่งที่ดีที่สุด
chinese-essencial-in-communication-3-thai-temperature,气温,,qìwēn,temperature,อุณหภูมิ,🌡️,今天的**气温**很高。 (Jīntiān de **qìwēn** hěn gāo.) วันนี้อากาศ**ร้อน**มาก,今天的**气温**很高。,Jīntiān de **qìwēn** hěn gāo.,วันนี้อากาศ**ร้อน**มาก
chinese-essencial-in-communication-3-thai-degree,度,,dù,degree,ระดับ,📏,今天的温度是二十五**度**。 (Jīntiān de wēndù shì èrshíwǔ **dù**.) วันนี้อุณหภูมิยี่สิบห้า**องศา**,今天的温度是二十五**度**。,Jīntiān de wēndù shì èrshíwǔ **dù**.,วันนี้อุณหภูมิยี่สิบห้า**องศา**
chinese-essencial-in-communication-3-thai-night-time,夜间,,yèjiān,night time,เวลากลางคืน,🌙,我在**夜间**工作。 (wǒ zài **yèjiān** gōngzuò.) ฉันทำงานใน**เวลากลางคืน**,我在**夜间**工作。,wǒ zài **yèjiān** gōngzuò.,ฉันทำงานใน**เวลากลางคืน**
chinese-essencial-in-communication-3-thai-morning,早上,,zǎoshang,morning,ตอนเช้า,🌅,我**早上**吃早餐。 (wǒ **zǎoshang** chī zǎocān.) ฉันกินอาหารเช้าใน**ตอนเช้า**,我**早上**吃早餐。,wǒ **zǎoshang** chī zǎocān.,ฉันกินอาหารเช้าใน**ตอนเช้า**
chinese-essencial-in-communication-3-thai-to-jog,跑步,,pǎobù,to jog,วิ่ง,🏃,我喜欢**跑步**。 (Wǒ xǐhuān **pǎobù**.) ฉันชอบ**วิ่ง**,我喜欢**跑步**。,Wǒ xǐhuān **pǎobù**.,ฉันชอบ**วิ่ง**
chinese-essencial-in-communication-3-thai-habit,习惯,,xíguàn,habit,เคยชิน,🧘,他**习惯**早起。 (Tā **xíguàn** zǎoqǐ.) เขา**เคยชิน**กับการตื่นเช้า,他**习惯**早起。,Tā **xíguàn** zǎoqǐ.,เขา**เคยชิน**กับการตื่นเช้า
chinese-essencial-in-communication-3-thai-to-take-exercise,锻炼,,duànliàn,to take exercise,ออกกำลังกาย,💪,我每天都**锻炼**身体。 (Wǒ měitiān dōu **duànliàn** shēntǐ.) ฉัน**ออกกำลังกาย**ทุกวัน,我每天都**锻炼**身体。,Wǒ měitiān dōu **duànliàn** shēntǐ.,ฉัน**ออกกำลังกาย**ทุกวัน
chinese-essencial-in-communication-3-thai-breakfast,早饭,,zǎofàn,breakfast,อาหารเช้า,🍳,我喜欢吃**早饭**。 (Wǒ xǐhuān chī **zǎofàn**.) ฉันชอบกิน**อาหารเช้า**,我喜欢吃**早饭**。,Wǒ xǐhuān chī **zǎofàn**.,ฉันชอบกิน**อาหารเช้า**
chinese-essencial-in-communication-3-thai-should,该,,gāi,should,ควร,🧭,你**该**走了。 (nǐ **gāi** zǒu le.) คุณ**ควร**ไปแล้ว,你**该**走了。,nǐ **gāi** zǒu le.,คุณ**ควร**ไปแล้ว
chinese-essencial-in-communication-3-thai-common,一般,,yìbān,common,ทั่วไป,👍,我**一般**早上七点起床。 (Wǒ **yībān** zǎoshang qī diǎn qǐchuáng.) ฉันตื่นนอนตอนเจ็ดโมงเช้า**โดยทั่วไป**,我**一般**早上七点起床。,Wǒ **yībān** zǎoshang qī diǎn qǐchuáng.,ฉันตื่นนอนตอนเจ็ดโมงเช้า**โดยทั่วไป**
chinese-essencial-in-communication-3-thai-used-in-a-declarative-sentence-for-emphasis,可,,kě,(used in a declarative sentence for emphasis),ได้,❗,我可以帮你。 (wǒ kěyǐ **bāng** nǐ.) ฉัน**ช่วย**คุณได้,我可以帮你。,wǒ kěyǐ **bāng** nǐ.,ฉัน**ช่วย**คุณได้
chinese-essencial-in-communication-3-thai-chinese-dish,中国菜,,Zhōngguó cài,Chinese dish,อาหารจีน,🍜,我喜欢吃**中国菜**。 (Wǒ xǐhuān chī **Zhōngguócài**.) ฉันชอบกิน**อาหารจีน**,我喜欢吃**中国菜**。,Wǒ xǐhuān chī **Zhōngguócài**.,ฉันชอบกิน**อาหารจีน**
chinese-essencial-in-communication-3-thai-taste-of-food,口味,,kǒuwèi,taste of food,รสชาติ,😋,这个菜的**口味**很好。 (Zhège càid de **kǒuwèi** hěn hǎo.) อาหารจานนี้มี**รสชาติ**ดีมาก,这个菜的**口味**很好。,Zhège càid de **kǒuwèi** hěn hǎo.,อาหารจานนี้มี**รสชาติ**ดีมาก
chinese-essencial-in-communication-3-thai-hot-spicy,辣,,là,"hot, spicy",เผ็ด,🌶️,这道菜很**辣**。 (Zhè dào cài hěn **là**.) อาหารจานนี้**เผ็ด**มาก,这道菜很**辣**。,Zhè dào cài hěn **là**.,อาหารจานนี้**เผ็ด**มาก
chinese-essencial-in-communication-3-thai-to-love,爱,,ài,to love,รัก,❤️,我**爱**你。 (wǒ **ài** nǐ.) ฉัน**รัก**คุณ,我**爱**你。,wǒ **ài** nǐ.,ฉัน**รัก**คุณ
chinese-essencial-in-communication-3-thai-sour-sweet,酸甜,,suāntián,sour-sweet,เปรี้ยวหวาน,🍬,这道菜尝起来**酸甜**可口。 (Zhè dào cài cháng qǐ lái **suāntián** kěkǒu.) อาหารจานนี้รสชาติ**เปรี้ยวหวาน**อร่อย,这道菜尝起来**酸甜**可口。,Zhè dào cài cháng qǐ lái **suāntián** kěkǒu.,อาหารจานนี้รสชาติ**เปรี้ยวหวาน**อร่อย
chinese-essencial-in-communication-3-thai-light,清淡,,qīngdàn,light,รสอ่อน,🥗,这道菜很**清淡**。 (Zhè dào cài hěn **qīngdàn**.) อาหารจานนี้**เบา**มาก,这道菜很**清淡**。,Zhè dào cài hěn **qīngdàn**.,อาหารจานนี้**เบา**มาก
chinese-essencial-in-communication-3-thai-greasy,油腻,,yóunì,greasy,มันเยิ้ม,🤢,这道菜有点**油腻**。 (Zhè dào cài yǒudiǎn **yóunì**.) อาหารจานนี้ค่อนข้าง**มันเยิ้ม**,这道菜有点**油腻**。,Zhè dào cài yǒudiǎn **yóunì**.,อาหารจานนี้ค่อนข้าง**มันเยิ้ม**
chinese-essencial-in-communication-3-thai-measure-word,只,,zhī,(measure word),แค่,🐾,我**只**喜欢你。 (Wǒ **zhǐ** xǐhuan nǐ.) ฉัน**แค่**ชอบคุณ,我**只**喜欢你。,Wǒ **zhǐ** xǐhuan nǐ.,ฉัน**แค่**ชอบคุณ
chinese-essencial-in-communication-3-thai-hand,手,,shǒu,hand,มือ,✋,我**手**上拿着一本书。 (wǒ **shǒu** shàng názhe yī běn shū.) ฉันถือหนังสืออยู่ในมือ (**มือ**).,我**手**上拿着一本书。,wǒ **shǒu** shàng názhe yī běn shū.,ฉันถือหนังสืออยู่ในมือ (**มือ**).
chinese-essencial-in-communication-3-thai-to-write,写,,xiě,to write,เขียน,✍️,我喜欢**写**字。 (Wǒ xǐhuān **xiě** zì.) ฉันชอบ**เขียน**หนังสือ,我喜欢**写**字。,Wǒ xǐhuān **xiě** zì.,ฉันชอบ**เขียน**หนังสือ
chinese-essencial-in-communication-3-thai-characters-written-with-a-writing-brush,毛笔字,,máobǐ zì,characters written with a writing brush,พู่กันจีน,🖌️,我喜欢写**毛笔字**。 (Wǒ xǐhuān xiě **máobǐzì**.) ฉันชอบเขียน**พู่กันจีน**,我喜欢写**毛笔字**。,Wǒ xǐhuān xiě **máobǐzì**.,ฉันชอบเขียน**พู่กันจีน**
chinese-essencial-in-communication-3-thai-chinese-writing-brush,毛笔,,máobǐ,Chinese writing brush,พู่กัน,🖋️,我用**毛笔**写字。 (Wǒ yòng **máobǐ** xiězì.) ฉันเขียนหนังสือด้วย**พู่กัน**,我用**毛笔**写字。,Wǒ yòng **máobǐ** xiězì.,ฉันเขียนหนังสือด้วย**พู่กัน**
chinese-essencial-in-communication-3-thai-character,字,,zì,character,ตัวอักษร,🔠,"这个**字**怎么写？ (Zhège **zì** zěnme xiě?) คำว่า ""**字**"" นี้เขียนอย่างไร",这个**字**怎么写？,Zhège **zì** zěnme xiě?,"คำว่า ""**字**"" นี้เขียนอย่างไร"
chinese-essencial-in-communication-3-thai-performance,演出,,yǎnchū,performance,การแสดง,🎭,这支乐队的**演出**很精彩。 (Zhè zhī yuèduì de **yǎnchū** hěn jīngcǎi.) การ**แสดง**ของวงดนตรีวงนี้ยอดเยี่ยมมาก,这支乐队的**演出**很精彩。,Zhè zhī yuèduì de **yǎnchū** hěn jīngcǎi.,การ**แสดง**ของวงดนตรีวงนี้ยอดเยี่ยมมาก
chinese-essencial-in-communication-3-thai-in-the-process-of,正在,,zhèngzài,in the process of,กำลัง,⏳,我**正在**学习中文。 (Wǒ **zhèngzài** xuéxí Zhōngwén.) ฉัน**กำลัง**เรียนภาษาจีน,我**正在**学习中文。,Wǒ **zhèngzài** xuéxí Zhōngwén.,ฉัน**กำลัง**เรียนภาษาจีน
chinese-essencial-in-communication-3-thai-to-practice,练习,,liànxí,to practice,การฝึกซ้อม,📚,我每天都**练习**说汉语。 (Wǒ měitiān dōu **liànxí** shuō Hànyǔ.) ฉัน**ฝึก**พูดภาษาจีนทุกวัน,我每天都**练习**说汉语。,Wǒ měitiān dōu **liànxí** shuō Hànyǔ.,ฉัน**ฝึก**พูดภาษาจีนทุกวัน
chinese-essencial-in-communication-3-thai-not-easy,不容易,,bù róngyì,not easy,ไม่ง่าย,😥,学中文**不容易**。 (Xué Zhōngwén **bù róngyì**.) การเรียนภาษาจีน**ไม่ง่าย**,学中文**不容易**。,Xué Zhōngwén **bù róngyì**.,การเรียนภาษาจีน**ไม่ง่าย**
chinese-essencial-in-communication-3-thai-easy,容易,,róngyì,easy,ง่าย,💡,学中文**容易**。 (xué zhōng wén **róngyì**.) เรียนภาษาจีนเป็นเรื่อง**ง่าย**,学中文**容易**。,xué zhōng wén **róngyì**.,เรียนภาษาจีนเป็นเรื่อง**ง่าย**
chinese-essencial-in-communication-3-thai-to-pour,倒,,dào,to pour,ล้ม,💧,请把水**倒**掉。 (qǐng bǎ shuǐ **dǎo** diào.) กรุณาเทน้ำทิ้งไป (เท),请把水**倒**掉。,qǐng bǎ shuǐ **dǎo** diào.,กรุณาเทน้ำทิ้งไป (เท)
chinese-essencial-in-communication-3-thai-cup-measure-word,杯,,bēi,cup (measure word),ถ้วย,☕,我有一**杯**水。 (Wǒ yǒu yī **bēi** shuǐ.) ฉันมีน้ำหนึ่ง**แก้ว**,我有一**杯**水。,Wǒ yǒu yī **bēi** shuǐ.,ฉันมีน้ำหนึ่ง**แก้ว**
chinese-essencial-in-communication-3-thai-right-now,在,,zài,right now,ที่,⌚,我**在**家。 (wǒ **zài** jiā.) ฉัน**อยู่**บ้าน,我**在**家。,wǒ **zài** jiā.,ฉัน**อยู่**บ้าน
chinese-essencial-in-communication-3-thai-modal-word,呀,,ya,(modal word),อ๊ะ,🗣️,是**呀**！ (shì **ya**!) ใช่**เลย**!,是**呀**！,shì **ya**!,ใช่**เลย**!
chinese-essencial-in-communication-3-thai-modal-word,呢,,ne,(modal word),นะ,💬,你吃了吗**呢**？ (Nǐ chīle ma**ne**?) คุณกินหรือยัง**นะ**?,你吃了吗**呢**？,Nǐ chīle ma**ne**?,คุณกินหรือยัง**นะ**?
chinese-essencial-in-communication-3-thai-to-disturb,打扰,,dǎrǎo,to disturb,รบกวน,🔇,"对不起，**打扰**了。 (Duìbuqǐ, **dǎrǎo** le.) ขอโทษที่**รบกวน**ครับ",对不起，**打扰**了。,"Duìbuqǐ, **dǎrǎo** le.",ขอโทษที่**รบกวน**ครับ
chinese-essencial-in-communication-3-thai-oneself,自己,,zìjǐ,oneself,ตัวเอง,👤,你应该**自己**做。 (nǐ yīng gāi **zì jǐ** zuò.) คุณควรทำด้วย**ตัวเอง**,你应该**自己**做。,nǐ yīng gāi **zì jǐ** zuò.,คุณควรทำด้วย**ตัวเอง**
chinese-essencial-in-communication-3-thai-station-stop,车站,,chēzhàn,"station, stop",สถานีรถไฟ,🚌,我在**车站**等你。 (Wǒ zài **chēzhàn** děng nǐ.) ฉันจะรอคุณที่**ป้ายรถเมล์**,我在**车站**等你。,Wǒ zài **chēzhàn** děng nǐ.,ฉันจะรอคุณที่**ป้ายรถเมล์**
chinese-essencial-in-communication-3-thai-the-entrance-to-a-hutong,胡同口儿,,hútòng kǒur,the entrance to a hutong,ปากซอย,➡️,我在**胡同口儿**等你。 (wǒ zài **hú tòng kǒu er** děng nǐ.) ฉันจะรอคุณอยู่ที่**ปากซอย**,我在**胡同口儿**等你。,wǒ zài **hú tòng kǒu er** děng nǐ.,ฉันจะรอคุณอยู่ที่**ปากซอย**
chinese-essencial-in-communication-3-thai-hutong-lane-alley,胡同,,hútòng,"hutong, lane, alley",ตรอก,🏘️,北京的**胡同**很有特色。 (Běijīng de **hútòng** hěn yǒu tèsè.) **ตรอก**ซอยในปักกิ่งมีเอกลักษณ์เฉพาะตัว,北京的**胡同**很有特色。,Běijīng de **hútòng** hěn yǒu tèsè.,**ตรอก**ซอยในปักกิ่งมีเอกลักษณ์เฉพาะตัว
chinese-essencial-in-communication-3-thai-downtown,市中心,,shì zhōngxīn,downtown,ใจกลางเมือง,🏙️,我在**市中心**工作。 (Wǒ zài **shì zhōng xīn** gōng zuò.) ฉันทำงานอยู่**ใจกลางเมือง**,我在**市中心**工作。,Wǒ zài **shì zhōng xīn** gōng zuò.,ฉันทำงานอยู่**ใจกลางเมือง**
